TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
Hawaii,2457,351,1395,199.3,1062,151.7,147,21
South Alabama,2446,408,1259,209.8,1187,197.8,120,20
North Texas,2446,349,1283,183.3,1163,166.1,213,30.4
Minnesota,2441,349,884,126.3,1557,222.4,201,28.7
San Jose State,2438,406,1559,259.8,879,146.5,132,22
Utah,2415,403,1151,191.8,1264,210.7,227,37.8
Michigan,2380,340,1231,175.9,1149,164.1,152,21.7
Oregon State,2357,393,1576,262.7,781,130.2,164,27.3
Kansas,2354,336,1296,185.1,1058,151.1,116,16.6
Florida International,2347,293,1438,179.8,909,113.6,172,21.5
Wyoming,2292,327,1347,192.4,945,135,130,18.6
Tennessee,2276,325,1618,231.1,658,94,171,24.4
Missouri,2266,324,1227,175.3,1039,148.4,215,30.7
Penn State,2253,376,1694,282.3,559,93.2,127,21.2
UTEP,2249,375,854,142.3,1395,232.5,172,28.7
Temple,2224,371,1410,235,814,135.7,201,33.5
UTSA,2213,316,1348,192.6,865,123.6,145,20.7
Florida,2208,368,1191,198.5,1017,169.5,172,28.7
South Florida,2179,311,1269,181.3,910,130,152,21.7
Kent State,2113,302,1597,228.1,516,73.7,97,13.9
Louisiana-Monroe,1948,325,1441,240.2,507,84.5,105,17.5
Eastern Michigan,1909,273,810,115.7,1099,157,105,15
Vanderbilt,1888,270,1119,159.9,769,109.9,123,17.6
